"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000055118",61.0994728410467,-0.265110723415377,0.192814835957432,62.3167805236849,9.4488149931361e-13,5.29322615915484e-09,"KCNH2",3757
"ENSG00000140557",52.5847322650855,2.62251978364002,0.952045333700388,49.110106310068,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128
"ENSG00000196565",50.7147524035241,-2.14122486812429,0.381767408649916,47.2174129122554,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048
"ENSG00000158352",19.8912850726817,-0.384457754158621,0.193183643807215,37.714376610661,1.28334945059539e-07,0.000221209957607242,"SHROOM4",57477
"ENSG00000161681",20.8216818705595,-1.76337119205388,0.418007264759311,34.4503559690713,6.02382060630917e-07,0.000749898734145422,"SHANK1",50944
"ENSG00000146122",178.531544739312,-1.74070754428117,0.355075178167275,33.929674661453,7.7034993446497e-07,0.000863100066574553,"DAAM2",23500
"ENSG00000197299",39.5880865845122,0.905768615729171,0.202801327055453,33.1132837508051,1.13235667640633e-06,0.00120827849547205,"BLM",641
"ENSG00000183248",5.6025482422465,1.07727306767308,0.537002391165643,32.8811293367627,1.26332190639295e-06,0.00128675078538424,"PRR36",80164
"ENSG00000104522",623.672543669877,-0.273868648237047,0.145757889353367,32.5321489937637,1.48911148834693e-06,0.00139033375961991,"TSTA3",7264
"ENSG00000109906",289.154082988982,-0.986849810100195,0.182331971650634,32.5672566713192,1.4646875404735e-06,0.00139033375961991,"ZBTB16",7704
"ENSG00000173809",5.2283906584891,-1.56772146646683,0.343026258507944,31.6942501370687,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646
"ENSG00000156381",152.866471652107,-0.308966705900709,0.160895280724204,31.0520167977938,2.98750193683215e-06,0.00235891107363473,"ANKRD9",122416
"ENSG00000132465",96.4990217399414,0.245752028785855,0.293890333958687,30.8516701309175,3.28225569101809e-06,0.00245162618414445,"JCHAIN",3512
"ENSG00000137959",356.701545395829,-0.167214083785676,0.339703519721214,29.8057073456944,5.36102642804547e-06,0.00375405875623884,"IFI44L",10964
"ENSG00000120738",14.5050794301291,-0.853702427099743,0.254951062235866,29.540119946281,6.07124559289887e-06,0.00412255973471751,"EGR1",1958
"ENSG00000125740",45.399161411631,-1.03996439223461,0.25298813865003,28.2271494291974,1.12181070199458e-05,0.00661514058165644,"FOSB",2354
"ENSG00000168032",7.55879201457932,0.863172550859197,0.203895374498169,27.6814815351763,1.44709898278611e-05,0.00790892536738319,"ENTPD3",956
"ENSG00000180537",116.827517477703,-1.35469378070051,0.366867152692794,27.5172328512976,1.5622641012029e-05,0.0083350509475606,"RNF182",221687
