"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000204852",73.8461265776131,-0.824126248394628,0.158447542030966,30.1329817186139,4.03411734492683e-08,0.000433748296926533,"TCTN1",79600
"ENSG00000144724",14.2666298091112,-1.57230289581424,0.344996641418116,25.0033571036888,5.72305800225009e-07,0.00307671598200965,"PTPRG",5793
"ENSG00000078018",7.11177084906468,-1.40756132326524,0.311609021882274,23.2577986371348,1.41674794445066e-06,0.00609314955949341,"MAP2",4133
"ENSG00000108379",10.0468822983313,-0.955275639035154,0.218041193531132,20.7123545293267,5.33705417615235e-06,0.01639543042914,"WNT3",7473
"ENSG00000239264",20.9012503702239,-1.01331670172193,0.245505756520218,18.8764489289121,1.39463873928416e-05,0.0333225682772962,"TXNDC5",81567
